flow,duration,cap,seed,result
0.2,0.5,8,4,-102490
0.2,0.5,9,0,-102480
0.2,0.5,9,1,-101331
0.2,0.5,9,2,-101607
0.2,0.5,9,3,-100622
0.2,0.5,9,4,-101030
0.25,0.2,1,0,-1465
0.25,0.2,1,1,-101900
0.25,0.2,1,2,-101750
0.25,0.2,1,3,-101565
0.25,0.2,1,4,-102065
0.25,0.2,2,0,-102160
0.25,0.2,2,1,-101122
0.25,0.2,2,2,-101980
0.25,0.2,2,3,-101264
0.25,0.2,2,4,-101303
0.25,0.2,3,0,-100700
0.25,0.2,3,1,-101446
0.25,0.2,3,2,-100833
0.25,0.2,3,3,-101262
0.25,0.2,3,4,-101515
0.25,0.2,4,0,-100807
0.25,0.2,4,1,-101772
0.25,0.2,4,2,-101424
0.25,0.2,4,3,-101469
0.25,0.2,4,4,-101031
0.25,0.2,5,0,-101172
0.25,0.2,5,1,-100914
0.25,0.2,5,2,-100940
0.25,0.2,5,3,-100960
0.25,0.2,5,4,-100630
0.25,0.2,6,0,-100986
0.25,0.2,6,1,-100980
0.25,0.2,6,2,-101512
0.25,0.2,6,3,-101119
0.25,0.2,6,4,-101741
0.25,0.2,7,0,-101631
0.25,0.2,7,1,-101733
0.25,0.2,7,2,-101279
0.25,0.2,7,3,-101610
0.25,0.2,7,4,-101074
0.25,0.2,8,0,-100992
0.25,0.2,8,1,-101373
0.25,0.2,8,2,-101335
0.25,0.2,8,3,-101533
0.25,0.2,8,4,-101298
0.25,0.2,9,0,-101218
0.25,0.2,9,1,-100932
0.25,0.2,9,2,-100868
0.25,0.2,9,3,-100640
0.25,0.2,9,4,-100737
0.33,0.2,1,0,-977
0.33,0.2,1,1,-101791
0.33,0.2,1,2,-101593
0.33,0.2,1,3,-101914
0.33,0.2,1,4,-102315
0.33,0.2,2,0,-102403
0.33,0.2,2,1,-101579
0.33,0.2,2,2,-101486
0.33,0.2,2,3,-101833
0.33,0.2,2,4,-101741
0.33,0.2,3,0,-101343
0.33,0.2,3,1,-101282
0.33,0.2,3,2,-101112
0.33,0.2,3,3,-101403
0.33,0.2,3,4,-101365
0.33,0.2,4,0,-101318
0.33,0.2,4,1,-101410
0.33,0.2,4,2,-101095
0.33,0.2,4,3,-100750
0.33,0.2,4,4,-100817
0.33,0.2,5,0,-100979
0.33,0.2,5,1,-101530
0.33,0.2,5,2,-101254
0.33,0.2,5,3,-100693
0.33,0.2,5,4,-100916
0.33,0.2,6,0,-100784
0.33,0.2,6,1,-101542
0.33,0.2,6,2,-100840
0.33,0.2,6,3,-101793
0.33,0.2,6,4,-100850
0.33,0.2,7,0,-101451
0.33,0.2,7,1,-101901
0.33,0.2,7,2,-101543
0.33,0.2,7,3,-101082
0.33,0.2,7,4,-101783
0.33,0.2,8,0,-100662
0.33,0.2,8,1,-102869
0.33,0.2,8,2,-100662
0.33,0.2,8,3,-100922
0.33,0.2,8,4,-101200
0.33,0.2,9,0,-101216
0.33,0.2,9,1,-102022
0.33,0.2,9,2,-101364
0.33,0.2,9,3,-100374
0.33,0.2,9,4,-100737
0.33,0.25,1,0,-1636
0.33,0.25,1,1,-101429
0.33,0.25,1,2,-101620
0.33,0.25,1,3,-101955
0.33,0.25,1,4,-101357
0.33,0.25,2,0,-102064
0.33,0.25,2,1,-101543
0.33,0.25,2,2,-101487
0.33,0.25,2,3,-101828
0.33,0.25,2,4,-101340
0.33,0.25,3,0,-101385
0.33,0.25,3,1,-101149
0.33,0.25,3,2,-101657
0.33,0.25,3,3,-101901
0.33,0.25,3,4,-101476
0.33,0.25,4,0,-101020
0.33,0.25,4,1,-101013
0.33,0.25,4,2,-101675
0.33,0.25,4,3,-100900
0.33,0.25,4,4,-100671
0.33,0.25,5,0,-100723
0.33,0.25,5,1,-101749
0.33,0.25,5,2,-101647
0.33,0.25,5,3,-101508
0.33,0.25,5,4,-101030
0.33,0.25,6,0,-101070
0.33,0.25,6,1,-101475
0.33,0.25,6,2,-101289
0.33,0.25,6,3,-101899
0.33,0.25,6,4,-101232
0.33,0.25,7,0,-101581
0.33,0.25,7,1,-101076
0.33,0.25,7,2,-101668
0.33,0.25,7,3,-101580
0.33,0.25,7,4,-101296
0.33,0.25,8,0,-101212
0.33,0.25,8,1,-101899
0.33,0.25,8,2,-101992
0.33,0.25,8,3,-100745
0.33,0.25,8,4,-101240
0.33,0.25,9,0,-100942
0.33,0.25,9,1,-100743
0.33,0.25,9,2,-100685
0.33,0.25,9,3,-100703
0.33,0.25,9,4,-100749
0.33,0.33,1,0,-102235
0.33,0.33,1,1,-101397
0.33,0.33,1,2,-101769
0.33,0.33,1,3,-101884
0.33,0.33,1,4,-101693
0.33,0.33,2,0,-102267
0.33,0.33,2,1,-101919
0.33,0.33,2,2,-101677
0.33,0.33,2,3,-101491
0.33,0.33,2,4,-102070
0.33,0.33,3,0,-101101
0.33,0.33,3,1,-101053
0.33,0.33,3,2,-101805
0.33,0.33,3,3,-101335
0.33,0.33,3,4,-101662
0.33,0.33,4,0,-100693
0.33,0.33,4,1,-101096
0.33,0.33,4,2,-100812
0.33,0.33,4,3,-100802
0.33,0.33,4,4,-101239
0.33,0.33,5,0,-100987
0.33,0.33,5,1,-101088
0.33,0.33,5,2,-100903
0.33,0.33,5,3,-102037
0.33,0.33,5,4,-101614
0.33,0.33,6,0,-100741
0.33,0.33,6,1,-101947
0.33,0.33,6,2,-100930
0.33,0.33,6,3,-100898
0.33,0.33,6,4,-100787
0.33,0.33,7,0,-100826
0.33,0.33,7,1,-101198
0.33,0.33,7,2,-101612
0.33,0.33,7,3,-100941
0.33,0.33,7,4,-101305
0.33,0.33,8,0,-100703
0.33,0.33,8,1,-101628
0.33,0.33,8,2,-100718
0.33,0.33,8,3,-101790
0.33,0.33,8,4,-101090
0.33,0.33,9,0,-101211
0.33,0.33,9,1,-101452
0.33,0.33,9,2,-101212
0.33,0.33,9,3,-101018
0.33,0.33,9,4,-101007
0.33,0.5,1,0,-101839
0.33,0.5,1,1,-101527
0.33,0.5,1,2,-101682
0.33,0.5,1,3,-101426
0.33,0.5,1,4,-101463
