OBJECTID,BLOCKID,ROWNBR,BLOCK_ST,BLOCK_END,WIDTH_OFFS,GEOBASYS,SPACELENGT,SPACETYPE,SPACETYPED,TIME_LIMIT,SPACE_NB,CATEGORY,SIDE,CURRENT_ST,ELMNTKEY,SHAPE_Leng
2009,25-01,,150.000000000000000,175.000000000000000,-21,,25,ALLEY,ALLEY,,-11,NS,SE,INSVC,13346,24.931739369936331
2039,26-01,,130.000000000000000,149.000000000000000,24,,19,PLZ,PASSENGER LOAD ZONE,3,-08,ZONE,NW,INSVC,58617,18.943960503773404
2058,OW-25,,214.000000000000000,232.000000000000000,23,,18,PLZ,PASSENGER LOAD ZONE,3,-17,ZONE,SW,INSVC,36113,17.977365359626674
2086,OW-25,,111.500000000000000,118.500000000000000,-23,,7,CLR,CLEARANCE,,,NP,NE,INSVC,36114,6.991162478235379
2098,01-24,,75.000000000000000,94.000000000000000,30,,19,PS,PAY STATION,240,-05,PAID,SW,INSVC,1025,18.980662905390037
2099,26-01,,217.000000000000000,235.000000000000000,24,,18,PS,PAY STATION,240,-16,PAID,NW,INSVC,58617,17.946940977633975
2146,01-24,,22.000000000000000,34.000000000000000,30,,12,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,SW,INSVC,1025,11.987775310886892
2232,OW-25,,193.500000000000000,200.500000000000000,-23,,7,CLR,CLEARANCE,,,NP,NE,INSVC,36114,6.991205565697086
2236,25-01,,86.000000000000000,104.000000000000000,-21,,18,PS,PAY STATION,240,-05,PAID,SE,INSVC,13346,17.950854727001094
2253,OW-23,,388.000000000000000,398.000000000000000,-25,,10,XW,CROSSWALK,,,NS,NE,INSVC,13522,9.984574331682015
2264,01-24,,78.000000000000000,96.000000000000000,-27,,18,PS,PAY STATION,240,-04,PAID,NE,INSVC,1026,17.981688769840151
2265,26-01,,215.500000000000000,222.500000000000000,-24,,7,CLR,CLEARANCE,,,NP,SE,INSVC,58618,6.979360424713265
2307,25-01,,277.500000000000000,293.000000000000000,-21,,16,XW,CROSSWALK,,,NS,SE,INSVC,13346,15.457664460719775
2309,01-23,,397.500000000000000,410.000000000000000,-28,,12,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,NE,INSVC,24042,12.472325355198780
2352,OW-25,,275.500000000000000,293.000000000000000,-23,,18,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,NE,INSVC,36114,17.477972944341058
2430,25-01,,233.500000000000000,240.500000000000000,21,,7,CLR,CLEARANCE,,,NP,NW,INSVC,13345,6.980884621950616
2459,01-24,,96.000000000000000,114.000000000000000,-27,,18,PS,PAY STATION,240,-06,PAID,NE,INSVC,1026,17.981684518245068
2460,26-01,,129.000000000000000,147.000000000000000,-24,,18,PS,PAY STATION,240,-09,PAID,SE,INSVC,58618,17.946897939443534
2547,25-01,,222.000000000000000,239.000000000000000,-21,,17,PS,PAY STATION,240,-17,PAID,SE,INSVC,13346,16.953564014660873
2581,26-03,,45.000000000000000,61.000000000000000,-30,,16,BA,BARRIER AREA,,-01,NS,SE,INSVC,81290,15.993679347600816
2592,OW-25,,20.000000000000000,21.000000000000000,-23,,1,CLR,CLEARANCE,,,NP,NE,INSVC,36114,0.998737484721097
2596,25-01,,198.000000000000000,216.000000000000000,-21,,18,PS,PAY STATION,,-15,PAID,SE,INSVC,13346,17.950859085072540
2625,01-24,,267.000000000000000,277.000000000000000,30,,10,CR,CURB RAMP,,,NS,SW,INSVC,1025,9.989775451838144
2626,26-03,,73.000000000000000,85.000000000000000,-30,,12,PS,PAY STATION,240,-05,PAID,SE,INSVC,81290,11.995247680171252
2673,26-01,,26.000000000000000,42.000000000000000,-24,,16,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,SE,INSVC,58618,15.952854587008202
2687,01-24,,277.000000000000000,285.500000000000000,30,,8,XW,CROSSWALK,,,NS,SW,INSVC,1025,8.491400402278789
2688,26-01,,235.000000000000000,254.000000000000000,24,,19,PS,PAY STATION,240,-18,PAID,NW,INSVC,58617,18.943960503773404
2708,OW-25,,270.000000000000000,272.000000000000000,23,,2,CR,CURB RAMP,,,NS,SW,INSVC,36113,1.997475001510880
2774,25-01,,25.000000000000000,29.000000000000000,21,,4,CLR,CLEARANCE,,,NP,NW,INSVC,13345,3.989089841171343
2792,26-03,,27.000000000000000,35.000000000000000,-30,,8,CRBBLB,CURB BULB,,,NS,SE,INSVC,81290,7.996863365971855
2817,OW-25,,94.500000000000000,111.500000000000000,-23,,17,PS,PAY STATION,240,-06,PAID,NE,INSVC,36114,16.978627863887251
2850,01-24,,174.000000000000000,192.000000000000000,-27,,18,PS,PAY STATION,240,-12,PAID,NE,INSVC,1026,17.981641433511918
2851,26-01,,180.500000000000000,198.500000000000000,-24,,18,PS,PAY STATION,240,-13,PAID,SE,INSVC,58618,17.946940987654525
2873,OW-25,,28.000000000000000,29.500000000000000,23,,2,CLR,CLEARANCE,,,NP,SW,INSVC,36113,1.498129910212048
2885,OW-23,,398.000000000000000,400.000000000000000,-25,,2,CLR,CLEARANCE,,,NP,NE,INSVC,13522,1.996925692642330
2898,01-24,,121.500000000000000,140.500000000000000,30,,19,PS,PAY STATION,240,-09,PAID,SW,INSVC,1025,18.980619831725555
2942,25-01,,281.500000000000000,291.500000000000000,21,,10,XW,CROSSWALK,,,NS,NW,INSVC,13345,9.972679403739793
3004,25-01,,86.500000000000000,104.500000000000000,21,,18,PS,PAY STATION,240,-04,PAID,NW,INSVC,13345,17.950811702281133
3050,25-01,,27.500000000000000,31.000000000000000,-21,,4,CLR,CLEARANCE,,,NP,SE,INSVC,13346,3.490442310975308
3068,OW-25,,18.000000000000000,19.000000000000000,23,,1,CLR,CLEARANCE,,,NP,SW,INSVC,36113,0.998737484721097
3081,26-01,,173.500000000000000,175.000000000000000,24,,2,CLR,CLEARANCE,,,NP,NW,INSVC,58617,1.495576638712988
3127,01-23,,379.500000000000000,385.500000000000000,29,,6,CLR,CLEARANCE,,,NP,SW,INSVC,24041,5.986629414405100
3174,25-01,,199.000000000000000,216.000000000000000,21,,17,PS,PAY STATION,240,-14,PAID,NW,INSVC,13345,16.953607049287342
3176,01-23,,354.500000000000000,379.500000000000000,-28,,25,PLZ,PASSENGER LOAD ZONE,3,-32,ZONE,NE,INSVC,24042,24.944592032925208
3202,01-24,,285.500000000000000,288.000000000000000,30,,2,CLR,CLEARANCE,,,NP,SW,INSVC,1025,2.497443868718273
3203,26-01,,42.000000000000000,61.000000000000000,24,,19,PS-PLZ,PAY STATION - PLZ,240,-00,PAID,NW,INSVC,58617,18.943960504781600
3218,25-01,,41.000000000000000,68.000000000000000,-21,,27,CRBBLB,CURB BULB,,-01,NS,SE,INSVC,13346,26.926286453002156
3245,01-23,,362.500000000000000,379.500000000000000,29,,17,PS,PAY STATION,240,-31,PAID,SW,INSVC,24041,16.962313299383084
3279,OW-25,,118.500000000000000,135.500000000000000,-23,,17,PS,PAY STATION,240,-08,PAID,NE,INSVC,36114,16.978584765621445
3312,01-24,,167.500000000000000,267.000000000000000,30,,100,BUS,BUS ZONE,,-13/21,BUS,SW,INSVC,1025,99.398719463629490
3313,26-01,,26.000000000000000,42.000000000000000,24,,16,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,NW,INSVC,58617,15.952854597028779
3333,OW-25,,29.500000000000000,48.500000000000000,23,,19,PS,PAY STATION,240,-01,PAID,SW,INSVC,36113,18.976102854379718
3357,01-23,,385.500000000000000,402.500000000000000,29,,17,PS,PAY STATION,240,-33,PAID,SW,INSVC,24041,16.961979748183349
3406,25-01,,122.500000000000000,130.500000000000000,21,,8,CLR,CLEARANCE,,,NP,NW,INSVC,13345,7.978179670303327
3435,01-24,,144.000000000000000,166.000000000000000,-27,,22,PLZ,PASSENGER LOAD ZONE,3,-10,ZONE,NE,INSVC,1026,21.977598109031902
3436,26-01,,149.000000000000000,150.000000000000000,24,,1,CLR,CLEARANCE,,,NP,NW,INSVC,58617,0.997066875448595
3479,01-23,,345.500000000000000,362.500000000000000,29,,17,PS,PAY STATION,240,-29,PAID,SW,INSVC,24041,16.962356304768690
3480,26-01,,104.000000000000000,122.000000000000000,-24,,18,PS,PAY STATION,240,-07,PAID,SE,INSVC,58618,17.946940987654525
3500,OW-25,,284.500000000000000,290.000000000000000,23,,6,CLR,CLEARANCE,,,NP,SW,INSVC,36113,5.493079902102835
3522,25-01,,29.000000000000000,39.000000000000000,21,,10,XW,CROSSWALK,,,NS,NW,INSVC,13345,9.972679392710265
