OBJECTID,BLOCKID,ROWNBR,BLOCK_ST,BLOCK_END,WIDTH_OFFS,GEOBASYS,SPACELENGT,SPACETYPE,SPACETYPED,TIME_LIMIT,SPACE_NB,CATEGORY,SIDE,CURRENT_ST,ELMNTKEY,SHAPE_Leng
5813,27-00,,295.000000000000000,299.000000000000000,-28,,4,CLR,CLEARANCE,,,NP,SE,INSVC,32426,3.999952978947265
5849,02-24,,286.000000000000000,292.000000000000000,-26,,6,CLR,CLEARANCE,,,NP,NE,INSVC,70754,5.998378064507715
5855,02-25,,32.000000000000000,34.500000000000000,28,,2,CR,CURB RAMP,,,NS,SW,INSVC,2781,2.496530927970356
5865,24-01,,193.500000000000000,211.500000000000000,-25,,18,PS,PAY STATION,240,-15,PAID,SE,INSVC,31890,17.949752674641267
5902,02-25,,181.000000000000000,201.000000000000000,-25,,20,PS,PAY STATION,240,-14,PAID,NE,INSVC,2782,19.971920287947711
5928,27-00,,173.500000000000000,189.000000000000000,-28,,16,CRBBLB,CURB BULB,,-63,NS,SE,INSVC,32426,15.499735086268620
5934,24-01,,280.500000000000000,295.500000000000000,-25,,15,XW,CROSSWALK,,,NS,SE,INSVC,31890,14.958104269091420
5970,25-03,,31.000000000000000,48.000000000000000,-15,,17,XW,CROSSWALK,,,NS,SE,INSVC,13350,16.989022977778681
5971,02-25,,13.000000000000000,19.000000000000000,-25,,6,CLR,CLEARANCE,,,NP,NE,INSVC,2782,5.991596749365349
5981,24-01,,109.500000000000000,127.500000000000000,-25,,18,PS,PAY STATION,240,-07,PAID,SE,INSVC,31890,17.949752664613737
6017,OW-26,,207.000000000000000,225.500000000000000,23,,18,PS,PAY STATION,240,-17,PAID,SW,INSVC,36117,18.448794260179547
6047,27-00,,243.000000000000000,260.000000000000000,28,,17,PS,PAY STATION,240,-70,PAID,NW,INSVC,32425,16.999755177807657
6059,24-00,,290.500000000000000,300.000000000000000,25,,10,XW,CROSSWALK,,,NS,NW,INSVC,9145,9.472201627673352
6089,02-25,,125.000000000000000,143.000000000000000,28,,18,PS,PAY STATION,240,-09,PAID,SW,INSVC,2781,17.974747199107682
6093,27-00,,112.000000000000000,130.000000000000000,-28,,18,PS,PAY STATION,240,-57,PAID,SE,INSVC,32426,17.999754193314967
6099,24-01,,151.000000000000000,176.500000000000000,27,,26,ALLEY,ALLEY,,-22/24,NS,NW,INSVC,31889,25.428759593941578
6133,02-25,,81.000000000000000,101.000000000000000,-25,,20,PS,PAY STATION,240,-04,PAID,NE,INSVC,2782,19.971920277922393
6160,02-24,,224.000000000000000,244.000000000000000,26,,20,PS-LAY,PAY STATION - BUS LAYOVER,240,-19,PAID,SW,INSVC,70753,19.994533309979545
6170,27-00,,260.000000000000000,267.000000000000000,28,,7,BA,BARRIER AREA,,,NS,NW,INSVC,32425,6.999902718814528
6186,OW-26,,151.000000000000000,173.000000000000000,-23,,22,DW,DRIVEWAY,,-10,NS,NE,INSVC,36118,21.939120776946012
6204,02-24,,36.000000000000000,176.000000000000000,-26,,140,NP,NO PARKING,,-00/12,NP,NE,INSVC,70754,139.961814963025176
6211,02-25,,64.000000000000000,82.000000000000000,28,,18,PS,PAY STATION,240,-03,PAID,SW,INSVC,2781,17.974704150243991
6215,27-00,,24.000000000000000,33.000000000000000,-28,,9,XW,CROSSWALK,,,NS,SE,INSVC,32426,8.999900750816021
6221,24-01,,83.500000000000000,93.000000000000000,27,,10,PS,PAY STATION,240,-08,PAID,NW,INSVC,31889,9.473485120922581
6234,27-00,,261.000000000000000,281.000000000000000,-28,,20,PS,PAY STATION,240,-71,PAID,SE,INSVC,32426,19.999709119884038
6249,OW-26,,66.000000000000000,73.000000000000000,23,,7,CLR,CLEARANCE,,,NP,SW,INSVC,36117,6.980653023542701
6268,02-24,,271.000000000000000,286.000000000000000,-26,,15,XW,CROSSWALK,,,NS,NE,INSVC,70754,14.995943054419502
6285,24-01,,295.500000000000000,306.000000000000000,-25,,10,CRBBLB,CURB BULB,,,NS,SE,INSVC,31890,10.470655335875303
6291,24-00,,227.500000000000000,248.000000000000000,-26,,20,PS,PAY STATION,240,-17,PAID,SE,INSVC,9146,20.439997050932774
6365,25-03,,27.000000000000000,28.500000000000000,27,,2,CLR,CLEARANCE,,,NP,NW,INSVC,13349,1.499042459398399
6404,27-00,,281.000000000000000,284.000000000000000,-28,,3,CR,CURB RAMP,,,NS,SE,INSVC,32426,2.999949740455349
6420,OW-26,,273.000000000000000,283.000000000000000,-23,,10,XW,CROSSWALK,,,NS,NE,INSVC,36118,9.972310412395881
6437,02-24,,176.000000000000000,196.000000000000000,-26,,20,PS,PAY STATION,240,-14,PAID,NE,INSVC,70754,19.994533288929443
6448,27-00,,189.000000000000000,206.000000000000000,-28,,17,CVLZ,COMMERCIAL VEHICLE LOAD ZONE,30,-65T,LOAD,SE,INSVC,32426,16.999802495173256
6454,24-01,,213.000000000000000,223.000000000000000,27,,10,PS,PAY STATION,240,-34,PAID,NW,INSVC,31889,9.972072354492555
6496,24-01,,103.500000000000000,109.500000000000000,-25,,6,CLR,CLEARANCE,,,NP,SE,INSVC,31890,5.983296812111329
6522,24-00,,289.500000000000000,290.500000000000000,25,,1,CLR,CLEARANCE,,,NP,NW,INSVC,9145,0.997092659482072
6598,OW-26,,283.000000000000000,286.000000000000000,-23,,3,CLR,CLEARANCE,,,NP,NE,INSVC,36118,2.991700469596446
6631,27-00,,220.000000000000000,226.000000000000000,28,,6,CLR,CLEARANCE,,,NP,NW,INSVC,32425,5.999994104072446
6647,OW-26,,89.000000000000000,96.000000000000000,-23,,7,CLR,CLEARANCE,,,NP,NE,INSVC,36118,6.980609953149332
6682,24-01,,253.000000000000000,280.000000000000000,27,,27,BA,BARRIER AREA,,-42,NS,NW,INSVC,31889,26.924607472833209
6794,27-00,,271.000000000000000,275.000000000000000,28,,4,PS-MC,PAY STATION - MOTORCYCLE,240,-72B,PAID,NW,INSVC,32425,3.999952978947265
6806,24-00,,230.500000000000000,258.500000000000000,25,,28,DW,DRIVEWAY,,-16,NS,NW,INSVC,9145,27.918103767950633
6827,OW-26,,199.000000000000000,206.000000000000000,-23,,7,CLR,CLEARANCE,,,NP,NE,INSVC,36118,6.980653023542701
6857,27-00,,22.000000000000000,27.500000000000000,28,,6,CLR,CLEARANCE,,,NP,NW,INSVC,32425,5.499973050158752
6891,02-24,,82.000000000000000,100.000000000000000,26,,18,PS-LAY,PAY STATION - BUS LAYOVER,240,-07,PAID,SW,INSVC,70753,17.995134204543767
6897,02-25,,254.000000000000000,274.000000000000000,28,,20,CRBBLB,CURB BULB,,-21,NS,SW,INSVC,2781,19.971920276923303
6901,27-00,,130.000000000000000,148.000000000000000,-28,,18,PS,PAY STATION,240,-59,PAID,SE,INSVC,32426,17.999754183281329
6907,24-01,,223.000000000000000,233.000000000000000,27,,10,PS,PAY STATION,240,-36,PAID,NW,INSVC,31889,9.972115432617423
6944,02-25,,241.000000000000000,261.000000000000000,-25,,20,PS,PAY STATION,240,-20,PAID,NE,INSVC,2782,19.971920276923303
6954,24-01,,68.000000000000000,86.000000000000000,-25,,18,PS,PAY STATION,240,-03,PAID,SE,INSVC,31890,17.949752664613737
6991,OW-26,,157.000000000000000,164.000000000000000,23,,7,CLR,CLEARANCE,,,NP,SW,INSVC,36117,6.980653033573105
7010,02-24,,15.000000000000000,30.000000000000000,-26,,15,XW,CROSSWALK,,,NS,NE,INSVC,70754,14.995943043398913
7021,27-00,,293.500000000000000,298.000000000000000,28,,4,CLR,CLEARANCE,,,NP,NW,INSVC,32425,4.499926727275286
7062,02-25,,194.000000000000000,212.000000000000000,28,,18,PS,PAY STATION,240,-15,PAID,SW,INSVC,2781,17.974704151243042
7071,24-01,,253.500000000000000,280.500000000000000,-25,,27,CRBBLB,CURB BULB,,-21,NS,SE,INSVC,31890,26.924650541083878
7136,24-01,,183.000000000000000,193.000000000000000,27,,10,PS,PAY STATION,240,-28,PAID,NW,INSVC,31889,9.972068092479152
7160,OW-26,,116.000000000000000,134.000000000000000,23,,18,PS,PAY STATION,240,-09,PAID,SW,INSVC,36117,17.950211292290568
7208,27-00,,186.000000000000000,203.000000000000000,28,,17,PS,PAY STATION,240,-64,PAID,NW,INSVC,32425,16.999755156757182
7223,OW-26,,253.000000000000000,273.000000000000000,-23,,20,PS,PAY STATION,240,-18,PAID,NE,INSVC,36118,19.944711245365852
7259,24-01,,121.500000000000000,131.000000000000000,27,,10,PS,PAY STATION,240,-16,PAID,NW,INSVC,31889,9.473437768735835
7293,02-25,,274.000000000000000,302.000000000000000,28,,28,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,SW,INSVC,2781,27.960685814091718
7365,02-24,,158.000000000000000,178.000000000000000,26,,20,PS-LAY,PAY STATION - BUS LAYOVER,240,-13,PAID,SW,INSVC,70753,19.994533299950060
7408,02-25,,19.000000000000000,33.000000000000000,-25,,14,XW,CROSSWALK,,,NS,NE,INSVC,2782,13.980366576425370
7446,27-00,,98.000000000000000,105.000000000000000,28,,7,CLR,CLEARANCE,,,NP,NW,INSVC,32425,6.999902718814528
7463,OW-26,,91.000000000000000,109.000000000000000,23,,18,PS,PAY STATION,240,-07,PAID,SW,INSVC,36117,17.950168211739545
7480,02-24,,12.000000000000000,15.000000000000000,-26,,3,CLR,CLEARANCE,,,NP,NE,INSVC,70754,2.999143837682253
7487,02-25,,169.000000000000000,187.000000000000000,28,,18,PS,PAY STATION,240,-13,PAID,SW,INSVC,2781,17.974751501055195
7491,27-00,,206.000000000000000,214.000000000000000,-28,,8,CLR,CLEARANCE,,,NP,SE,INSVC,32426,7.999854406984492
7497,24-01,,131.000000000000000,140.500000000000000,27,,10,PS,PAY STATION,240,-18,PAID,NW,INSVC,31889,9.473485120922581
7503,24-00,,265.000000000000000,289.500000000000000,25,,24,PS,PAY STATION,240,-18,PAID,NW,INSVC,9145,24.428324664465539
7507,OW-26,,116.000000000000000,124.000000000000000,-23,,8,CLR,CLEARANCE,,,NP,NE,INSVC,36118,7.977857810366046
7532,02-25,,40.000000000000000,61.000000000000000,-25,,21,NP,NO PARKING,,-00,NP,NE,INSVC,2782,20.970506811438646
7541,24-01,,171.500000000000000,176.500000000000000,-25,,5,CLR,CLEARANCE,,,NP,SE,INSVC,31890,4.985988835504311
7579,OW-26,,73.000000000000000,91.000000000000000,23,,18,PS,PAY STATION,240,-05,PAID,SW,INSVC,36117,17.950258623270674
7599,02-24,,204.000000000000000,224.000000000000000,26,,20,PS-LAY,PAY STATION - BUS LAYOVER,240,-17,PAID,SW,INSVC,70753,19.994533288929443
7611,27-00,,62.000000000000000,80.000000000000000,28,,18,PS,PAY STATION,240,-52,PAID,NW,INSVC,32425,17.999754193314967
7627,OW-26,,11.000000000000000,16.500000000000000,-23,,6,CR,CURB RAMP,,,NS,NE,INSVC,36118,5.484826469976179
7652,02-25,,237.000000000000000,254.000000000000000,28,,17,PS,PAY STATION,240,-19,PAID,SW,INSVC,2781,16.976121907838408
7662,24-01,,211.500000000000000,218.500000000000000,-25,,7,CLR,CLEARANCE,,,NP,SE,INSVC,31890,6.980467027062792
7715,02-25,,276.000000000000000,292.000000000000000,-25,,16,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,NE,INSVC,2782,15.977535353306017
7725,24-01,,112.000000000000000,121.500000000000000,27,,10,PS,PAY STATION,240,-14,PAID,NW,INSVC,31889,9.473485120922581
7759,02-25,,201.000000000000000,221.000000000000000,-25,,20,PS,PAY STATION,240,-16,PAID,NE,INSVC,2782,19.971963325700237
7806,OW-26,,200.000000000000000,207.000000000000000,23,,7,CLR,CLEARANCE,,,NP,SW,INSVC,36117,6.980653034562485
7836,27-00,,105.000000000000000,123.000000000000000,28,,18,PS,PAY STATION,240,-56,PAID,NW,INSVC,32425,17.999754182298130
7871,02-24,,31.500000000000000,64.000000000000000,26,,32,CRBBLB,CURB BULB,,-01/03,NS,SW,INSVC,70753,32.491138144348703
7877,02-25,,82.000000000000000,100.000000000000000,28,,18,PS,PAY STATION,240,-05,PAID,SW,INSVC,2781,17.974751501055195
7887,24-01,,236.000000000000000,253.500000000000000,-25,,18,PS,PAY STATION,240,-19,PAID,SE,INSVC,31890,17.451169693176176
7934,24-01,,40.000000000000000,44.000000000000000,-25,,4,CLR,CLEARANCE,,,NP,SE,INSVC,31890,3.988865962888486
7971,OW-26,,206.000000000000000,226.000000000000000,-23,,20,PS,PAY STATION,240,-14,PAID,NE,INSVC,36118,19.944711235335465
7990,02-24,,14.000000000000000,16.500000000000000,26,,2,CLR,CLEARANCE,,,NP,SW,INSVC,70753,2.499338200037267
8062,27-00,,267.000000000000000,271.000000000000000,28,,4,PS-MC,PAY STATION - MOTORCYCLE,240,-72A,PAID,NW,INSVC,32425,3.999948745853531
8104,02-25,,187.000000000000000,194.000000000000000,28,,7,CLR,CLEARANCE,,,NP,SW,INSVC,2781,6.990183282700483
8108,27-00,,152.000000000000000,173.500000000000000,-28,,22,DW,DRIVEWAY,,-61,NS,SE,INSVC,32426,21.499729200373608
8114,24-01,,55.000000000000000,64.500000000000000,27,,10,PS,PAY STATION,240,-02,PAID,NW,INSVC,31889,9.473485110895068
8149,02-25,,101.000000000000000,121.000000000000000,-25,,20,PS,PAY STATION,240,-06,PAID,NE,INSVC,2782,19.971920287947711
8186,27-00,,284.000000000000000,293.500000000000000,28,,10,XW,CROSSWALK,,,NS,NW,INSVC,32425,9.499878721450944
8202,OW-26,,164.000000000000000,182.000000000000000,23,,18,PS,PAY STATION,240,-13,PAID,SW,INSVC,36117,17.950168212728965
8227,02-25,,212.000000000000000,230.000000000000000,28,,18,PS,PAY STATION,240,-17,PAID,SW,INSVC,2781,17.974794548806383
8237,24-01,,218.500000000000000,236.000000000000000,-25,,18,PS,PAY STATION,240,-17,PAID,SE,INSVC,31890,17.451122352910478
8242,24-00,,300.000000000000000,301.000000000000000,25,,1,CLR,CLEARANCE,,,NP,NW,INSVC,9145,0.997092659482072
8270,02-25,,221.000000000000000,241.000000000000000,-25,,20,PS,PAY STATION,240,-18,PAID,NE,INSVC,2782,19.971920287947711
8294,27-00,,33.000000000000000,35.000000000000000,-28,,2,CR,CURB RAMP,,,NS,SE,INSVC,32426,1.999907619237663
8300,24-01,,74.000000000000000,83.500000000000000,27,,10,PS,PAY STATION,240,-06,PAID,NW,INSVC,31889,9.473528178188470
8378,25-03,,28.500000000000000,45.500000000000000,27,,17,XW,CROSSWALK,,,NS,NW,INSVC,13349,16.989070360717669
8386,02-24,,178.000000000000000,198.000000000000000,26,,20,PS-LAY,PAY STATION - BUS LAYOVER,240,-15,PAID,SW,INSVC,70753,19.994576365612598
8417,27-00,,141.000000000000000,146.000000000000000,28,,5,CLR,CLEARANCE,,,NP,NW,INSVC,32425,4.999904676779648
8433,OW-26,,173.000000000000000,179.000000000000000,-23,,6,CLR,CLEARANCE,,,NP,NE,INSVC,36118,5.983448268853104
8457,02-25,,34.500000000000000,64.000000000000000,28,,30,CRBBLB,CURB BULB,,-01,NS,SW,INSVC,2781,29.458587149650448
8467,24-01,,28.000000000000000,33.000000000000000,27,,5,CLR,CLEARANCE,,,NP,NW,INSVC,31889,4.985988846526676
8473,24-00,,290.500000000000000,299.000000000000000,-26,,8,XW,CROSSWALK,,,NS,SE,INSVC,9146,8.475108969209822
8477,OW-26,,49.000000000000000,70.000000000000000,-23,,21,L/UL,LOAD/UNLOAD ZONE,30,-02,LOAD,NE,INSVC,36118,20.941916011147622
8549,OW-26,,48.000000000000000,66.000000000000000,23,,18,PS,PAY STATION,240,-03,PAID,SW,INSVC,36117,17.950168222759348
8568,02-24,,198.000000000000000,204.000000000000000,26,,6,CLR,CLEARANCE,,,NP,SW,INSVC,70753,5.998378075528334
8613,OW-26,,179.000000000000000,199.000000000000000,-23,,20,PS,PAY STATION,240,-12,PAID,NE,INSVC,36118,19.944620834822150
8615,02-24,,152.000000000000000,158.000000000000000,26,,6,CLR,CLEARANCE,,,NP,SW,INSVC,70753,5.998378064507715
8634,02-24,,271.500000000000000,286.500000000000000,26,,15,XW,CROSSWALK,,,NS,SW,INSVC,70753,14.995943054419502
8652,24-01,,40.500000000000000,44.500000000000000,27,,4,CLR,CLEARANCE,,,NP,NW,INSVC,31889,3.988818631541075
8662,OW-26,,32.500000000000000,49.000000000000000,-23,,16,HYD,HYDRANT,,-00,NS,NE,INSVC,36118,16.454337398604547
8687,02-25,,107.000000000000000,125.000000000000000,28,,18,PS,PAY STATION,240,-07,PAID,SW,INSVC,2781,17.974751490030780
8696,24-01,,280.000000000000000,295.000000000000000,27,,15,XW,CROSSWALK,,,NS,NW,INSVC,31889,14.958104269091420
8741,24-01,,31.000000000000000,40.000000000000000,-25,,9,CR,CURB RAMP,,,NS,SE,INSVC,31890,8.974854798212759
8808,27-00,,203.000000000000000,220.000000000000000,28,,17,PS,PAY STATION,240,-66,PAID,NW,INSVC,32425,16.999712083390570
8844,02-24,,16.500000000000000,31.500000000000000,26,,15,XW,CROSSWALK,,,NS,SW,INSVC,70753,14.995899966697081
8850,02-25,,292.000000000000000,302.000000000000000,-25,,10,CLR,CLEARANCE,,,NP,NE,INSVC,2782,9.985938625153720
8860,24-01,,203.000000000000000,213.000000000000000,27,,10,PS,PAY STATION,240,-32,PAID,NW,INSVC,31889,9.972068081456792
8875,27-00,,35.000000000000000,62.000000000000000,28,,27,CRBBLB,CURB BULB,,-50,NS,NW,INSVC,32425,26.999654933096924
8915,02-25,,12.000000000000000,17.000000000000000,28,,5,CLR,CLEARANCE,,,NP,SW,INSVC,2781,4.993014505837766
8919,27-00,,148.000000000000000,152.000000000000000,-28,,4,CLR,CLEARANCE,,,NP,SE,INSVC,32426,3.999905661270831
8925,24-01,,233.000000000000000,243.000000000000000,27,,10,PS,PAY STATION,240,-38,PAID,NW,INSVC,31889,9.972068092479152
8972,24-01,,86.000000000000000,103.500000000000000,-25,,18,PS,PAY STATION,240,-05,PAID,SE,INSVC,31890,17.451122351915608
9008,OW-26,,226.000000000000000,234.000000000000000,-23,,8,CLR,CLEARANCE,,,NP,NE,INSVC,36118,7.977857799346237
9038,27-00,,27.500000000000000,35.000000000000000,28,,8,CR,CURB RAMP,,,NS,NW,INSVC,32425,7.499833361991258
9079,02-25,,121.000000000000000,141.000000000000000,-25,,20,PS,PAY STATION,240,-08,PAID,NE,INSVC,2782,19.971920276923303
9088,24-01,,140.500000000000000,151.000000000000000,27,,10,BA,BARRIER AREA,,-20,NS,NW,INSVC,31889,10.470745745313510
9122,02-25,,61.000000000000000,81.000000000000000,-25,,20,PS,PAY STATION,240,-02,PAID,NE,INSVC,2782,19.971963335725583
9159,27-00,,275.000000000000000,279.000000000000000,28,,4,BA,BARRIER AREA,,,NS,NW,INSVC,32425,3.999948755887267
9165,24-01,,44.500000000000000,45.500000000000000,27,,1,BA,BARRIER AREA,,,NS,NW,INSVC,31889,0.997217556676819
9201,24-01,,27.000000000000000,31.000000000000000,-25,,4,CLR,CLEARANCE,,,NP,SE,INSVC,31890,3.988861689101554
9225,27-00,,233.500000000000000,253.000000000000000,-28,,20,PS,PAY STATION,240,-69,PAID,SE,INSVC,32426,19.499731159321740
9240,OW-26,,16.500000000000000,30.000000000000000,23,,14,CR,CURB RAMP,,,NS,SW,INSVC,36117,13.462636940199159
9259,02-24,,256.000000000000000,271.000000000000000,-26,,15,NP,NO PARKING,,-22,NP,NE,INSVC,70754,14.995899976726564
9270,27-00,,35.000000000000000,87.000000000000000,-28,,52,CRBBLB,CURB BULB,,-51/53,NS,SE,INSVC,32426,51.999311845210258
9276,24-01,,45.500000000000000,55.000000000000000,27,,10,PS,PAY STATION,240,-00,PAID,NW,INSVC,31889,9.473485109900169
9310,02-25,,17.000000000000000,32.000000000000000,28,,15,XW,CROSSWALK,,,NS,SW,INSVC,2781,14.978905771098059
9354,25-03,,51.000000000000000,148.500000000000000,-15,,98,NP,NO PARKING,,-01/09,NP,SE,INSVC,13350,97.437247447274331
9362,02-24,,244.000000000000000,271.500000000000000,26,,28,CRBBLB,CURB BULB,,-21,NS,SW,INSVC,70753,27.492457477601018
9393,27-00,,279.000000000000000,284.000000000000000,28,,5,CR,CURB RAMP,,,NS,NW,INSVC,32425,4.999904676779648
9409,OW-26,,124.000000000000000,144.500000000000000,-23,,20,PS,PAY STATION,240,-08,PAID,NE,INSVC,36118,20.443289952719081
9443,24-01,,102.500000000000000,112.000000000000000,27,,10,PS,PAY STATION,240,-12,PAID,NW,INSVC,31889,9.473485120922581
9473,OW-26,,134.000000000000000,157.000000000000000,23,,23,PLZ,PASSENGER LOAD ZONE,3,-11,ZONE,SW,INSVC,36117,22.936368624197382
9490,02-24,,216.000000000000000,236.000000000000000,-26,,20,PS,PAY STATION,240,-18,PAID,NE,INSVC,70754,19.994576365612598
9497,02-25,,230.000000000000000,237.000000000000000,28,,7,CLR,CLEARANCE,,,NP,SW,INSVC,2781,6.990183293724886
9501,27-00,,214.000000000000000,233.500000000000000,-28,,20,PS,PAY STATION,240,-67,PAID,SE,INSVC,32426,19.499731169355361
9507,24-01,,295.000000000000000,306.000000000000000,27,,11,CRBBLB,CURB BULB,,,NS,NW,INSVC,31889,10.969285647579023
9513,24-00,,299.000000000000000,299.500000000000000,-26,,0,CLR,CLEARANCE,,,NP,SE,INSVC,9146,0.498591523371775
9590,OW-26,,109.000000000000000,116.000000000000000,23,,7,CLR,CLEARANCE,,,NP,SW,INSVC,36117,6.980653034562485
9623,27-00,,80.000000000000000,98.000000000000000,28,,18,PS,PAY STATION,240,-54,PAID,NW,INSVC,32425,17.999711088865958
9639,OW-26,,70.000000000000000,89.000000000000000,-23,,19,PS,PAY STATION,240,-04,PAID,NE,INSVC,36118,18.947459149674053
9665,02-25,,150.000000000000000,169.000000000000000,28,,19,PLZ,PASSENGER LOAD ZONE,3,-11,ZONE,SW,INSVC,2781,18.973290684698970
9675,24-01,,243.000000000000000,253.000000000000000,27,,10,PS,PAY STATION,240,-40,PAID,NW,INSVC,31889,9.972115422589900
9720,24-01,,127.500000000000000,145.500000000000000,-25,,18,PS,PAY STATION,240,-09,PAID,SE,INSVC,31890,17.949752674641267
9771,02-25,,33.000000000000000,40.000000000000000,-25,,7,CLR,CLEARANCE,,,NP,NE,INSVC,2782,6.990183303750210
9837,02-24,,106.000000000000000,152.000000000000000,26,,46,CVLZ-B,CVLZ - BUS ZONE,30,-09T/11,LOAD,SW,INSVC,70753,45.987397330861654
9848,27-00,,146.000000000000000,171.500000000000000,28,,26,ALLEY,ALLEY,,-60,NS,NW,INSVC,32425,25.499634862623527
9854,24-01,,33.000000000000000,40.500000000000000,27,,8,CR,CURB RAMP,,,NS,NW,INSVC,31889,7.479097328741737
9860,24-00,,268.500000000000000,290.500000000000000,-26,,22,BA,BARRIER AREA,,-21,NS,SE,INSVC,9146,21.935638198403428
9883,02-24,,64.000000000000000,82.000000000000000,26,,18,PS-LAY,PAY STATION - BUS LAYOVER,240,-05,PAID,SW,INSVC,70753,17.995086881063838
9899,24-01,,64.500000000000000,74.000000000000000,27,,10,PS,PAY STATION,240,-04,PAID,NW,INSVC,31889,9.473437779758202
9936,02-25,,141.000000000000000,161.000000000000000,-25,,20,PS,PAY STATION,240,-10,PAID,NE,INSVC,2782,19.971963336724620
9946,24-01,,61.000000000000000,68.000000000000000,-25,,7,CLR,CLEARANCE,,,NP,SE,INSVC,31890,6.980467027062792
9982,OW-26,,182.000000000000000,200.000000000000000,23,,18,PS,PAY STATION,240,-15,PAID,SW,INSVC,36117,17.950211292290568
10012,27-00,,171.500000000000000,186.000000000000000,28,,14,CRBBLB,CURB BULB,,-62,NS,NW,INSVC,32425,14.499826492582374
10048,24-00,,86.000000000000000,90.000000000000000,28,,4,CLR,CLEARANCE,,,NP,NW,INSVC,54305,3.989047898871120
10071,01-26,,41.500000000000000,67.500000000000000,-28,,26,CVLZ-P,CVLZ - PLZ,30,-02,LOAD,NE,INSVC,68918,25.924146902646768
10091,OW-24,,121.500000000000000,138.500000000000000,-23,,17,PS,PAY STATION,240,-08,PAID,NE,INSVC,36110,16.980394284187302
10149,27-01,,170.000000000000000,190.000000000000000,30,,20,TAZ,TOW AWAY ZONE,,-12,NP,NW,INSVC,9677,19.944005724564338
10258,25-00,,291.000000000000000,301.000000000000000,-21,,10,XW,CROSSWALK,,,NS,SE,INSVC,35942,9.998197401925204
10259,OW-24,,208.500000000000000,232.500000000000000,-23,,24,PLZ,PASSENGER LOAD ZONE,3,-16,ZONE,NE,INSVC,36110,23.972283118099131
10290,24-00,,145.000000000000000,150.000000000000000,28,,5,CLR,CLEARANCE,,,NP,NW,INSVC,54305,4.986330359645142
10313,27-01,,216.000000000000000,233.000000000000000,30,,17,PS-LAY,PAY STATION - BUS LAYOVER,240,-16,PAID,NW,INSVC,9677,16.952439314140523
10314,01-26,,135.000000000000000,152.000000000000000,29,,17,PS,PAY STATION,240,-11,PAID,SW,INSVC,68917,16.950393132563693
10332,OW-24,,228.500000000000000,246.500000000000000,28,,18,PS,PAY STATION,240,-19,PAID,SW,INSVC,36109,17.979187610370904
10378,27-01,,40.500000000000000,41.000000000000000,30,,0,CR,CURB RAMP,,,NS,NW,INSVC,9677,0.498548490785934
10428,01-26,,105.500000000000000,110.500000000000000,-28,,5,CLR,CLEARANCE,,,NP,NE,INSVC,68918,4.985434058261349
10521,24-00,,282.500000000000000,285.500000000000000,28,,3,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,NW,INSVC,54305,2.991808519734109
10609,OW-24,,18.000000000000000,22.000000000000000,28,,4,CLR,CLEARANCE,,,NP,SW,INSVC,36109,3.995319532547701
10654,01-26,,30.500000000000000,41.500000000000000,-28,,11,HYD,HYDRANT,,-00,NS,NE,INSVC,68918,10.967892049526540
10673,OW-24,,232.500000000000000,239.500000000000000,-23,,7,CLR,CLEARANCE,,,NP,NE,INSVC,36110,6.991888823902246
10681,02-27,,27.000000000000000,41.000000000000000,-28,,14,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,NE,INSVC,2786,13.996942411573889
10726,27-01,,258.000000000000000,262.000000000000000,30,,4,BA,BARRIER AREA,,,NS,NW,INSVC,9677,3.988801157141403
10762,27-01,,86.500000000000000,103.500000000000000,-30,,17,PLZ,PASSENGER LOAD ZONE,3,-05,ZONE,SE,INSVC,9678,16.952439324163802
10770,01-26,,202.500000000000000,220.500000000000000,29,,18,PS,PAY STATION,240,-17,PAID,SW,INSVC,68917,17.947464418329346
10786,OW-24,,203.500000000000000,210.500000000000000,28,,7,CLR,CLEARANCE,,,NP,SW,INSVC,36109,6.991888833931126
10834,OW-24,,23.500000000000000,33.500000000000000,-23,,10,XW,CROSSWALK,,,NS,NE,INSVC,36110,9.988458124296656
10892,27-01,,194.000000000000000,211.000000000000000,-30,,17,PS,PAY STATION,240,-15,PAID,SE,INSVC,9678,16.952391966414034
10914,24-00,,235.500000000000000,252.500000000000000,28,,17,PS,PAY STATION,240,-68,PAID,NW,INSVC,54305,16.953469815081952
10960,27-01,,41.000000000000000,69.000000000000000,30,,28,NP,NO PARKING,,-00,NP,NW,INSVC,9677,27.921655397663145
10976,27-03,,43.500000000000000,72.500000000000000,24,,29,NP,NO PARKING,,-00,NP,NW,INSVC,32429,28.985728081168311
11018,27-03,,89.000000000000000,106.000000000000000,-30,,17,PS-LAY,PAY STATION - BUS LAYOVER,240,-05,PAID,SE,INSVC,32430,16.991646603473722
11025,24-00,,69.000000000000000,86.000000000000000,28,,17,PS,PAY STATION,240,-54,PAID,NW,INSVC,54305,16.953469815081952
11048,01-26,,20.000000000000000,31.500000000000000,29,,12,XWAREA,NOT A DESIGNATED CROSSWALK,,,NS,SW,INSVC,68917,11.466423458082462
